,Date,Adams,Billings,Bottineau,Bowman,Burke,Divide,Dunn,Golden.Valley,Hettinger,McHenry,McKenzie,McLean,Mercer,Mountrail,Renville,Slope,Stark,Ward,Williams
120,12-2011,0,436377,6003,874250,343280,777113,1755794,47517,0,0,4982640,52192,70,3649496,10241,38861,202038,1165,3633301
121,1-2012,0,420759,7037,1071902,314803,713423,1960693,55236,0,0,5437493,57078,35,3710078,10064,37487,237867,713,3688444
122,2-2012,0,365256,7560,859564,297475,660242,1895649,47940,0,0,5571162,47681,30,3425189,8724,36840,287479,1141,3498379
123,3-2012,0,430688,7611,1044681,375537,714180,2057228,52212,0,0,6251919,63348,0,4156069,9455,32213,260061,1126,3755012
124,4-2012,0,448954,9793,911116,369634,795971,1995652,48199,0,0,6293031,79458,60,4112203,9326,31324,253830,948,3859564
125,5-2012,0,429601,15082,900577,499720,921546,2083920,59931,0,0,6875645,72384,55,4179209,9276,31906,316491,977,4630853
126,6-2012,0,479542,16442,949151,504006,906823,2157440,53373,0,0,6668662,75276,36,4017627,9209,24943,404555,862,4748412
127,7-2012,0,505081,16378,919023,512215,982936,2218057,57444,0,0,7237205,72183,31,4297248,9038,22623,448265,1039,5004958
128,8-2012,0,511899,13630,902173,540470,998789,2291255,62733,0,0,7852545,64108,32,4621692,8658,17663,410854,869,5316382
129,9-2012,0,489951,12557,947717,501075,971886,2390308,46129,0,0,8190971,73220,0,4573989,8785,17703,382665,999,5303247
130,10-2012,0,486655,12359,930384,484902,1081213,2866769,59213,0,0,8177266,95016,83,4659143,8117,24920,425137,892,5438016
131,11-2012,0,436123,13577,885568,490995,971537,2557030,52084,0,0,7904201,74876,0,4682922,7802,22253,444294,1035,4898083
132,12-2012,0,447703,13294,949602,558226,1076152,2763832,59046,0,0,8561344,83945,0,4754750,7386,20628,639744,951,5373683
133,1-2013,0,472975,13848,929389,514287,979964,2768287,58241,0,0,8031381,81364,12,4877334,7805,18818,520704,1158,5321644
134,2-2013,0,419557,13439,825579,533359,953755,2609974,52225,0,0,7846020,67499,114,4590731,7118,16863,530818,980,4962699
135,3-2013,0,463441,17433,928625,546953,1066612,2927986,58557,0,0,9258988,66110,37,4962202,7655,17731,640599,1079,5351170
136,4-2013,0,453734,21166,976859,517074,1164471,2711059,57985,0,0,9086546,64733,33,4538624,6916,15786,639836,1171,5225723
137,5-2013,0,499023,24096,1158278,580194,1286328,3073110,61484,0,0,10144653,63258,39,4886886,7680,12646,683374,1041,5644999
138,6-2013,0,483463,25849,1088995,601239,1328445,2933907,56661,0,0,10303696,60308,42,4935450,6789,13525,656720,972,5657071
139,7-2013,0,482228,28018,1057165,628643,1382690,3362650,56303,0,0,11529389,66086,32,5235890,9264,15535,708137,1081,5967818
140,8-2013,0,510435,43644,1088482,628713,1357744,3582050,61490,0,0,12221482,66635,32,5117712,16988,18648,695875,1089,6183413
141,9-2013,0,532528,36972,1019482,604442,1386937,3615133,59392,0,0,12617326,62774,0,5378805,13804,14642,738536,1128,5923644
142,10-2013,0,548975,32351,1030594,603257,1465518,4112932,58349,0,0,12948755,66475,20,5617983,13498,11518,755182,1075,5984749
143,11-2013,0,495771,25907,1053382,545075,1286242,3753953,58894,0,0,13142054,61194,12,5714282,11718,13628,712021,1197,5836295
144,12-2013,0,456350,25162,878121,502215,1229275,3401417,48149,0,0,12660555,52133,50,5802211,8219,17378,761072,904,5198433
