"","X","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","FDR","P.Value","Slope"
"777",37534,"PRKCZ",130551,631.1,539.4,544.8,479.2,484,451.5,392.2,332.7,414.1,343.8,346.4,388.6,0.0314283522177292,0.000416593647456453,-19.1275590551181
"850",39992,"SCYL1",1580093,2532.8,2570.3,2283.1,2299.9,2218.5,2232.5,2219.9,1847.1,2071.2,1819.2,1722.4,2056.2,0.0314283522177292,0.000416370237559303,-54.541469816273
"1026",44974,"TYK2",6900424,1025.9,947,925,892.3,947.4,883.5,902.3,634.8,851.8,675,674.6,713.8,0.0314283522177292,0.000417070033445342,-26.6627296587927
"262",8328,"DPYSL4",50309,217.7,181.9,175,172.8,198.4,187.9,173.2,150,170.3,135.1,146.6,139.9,0.0314557533059,0.000418736196787487,-5.04120734908137
"654",33278,"MTMR3",460039,822.5,659.6,700.7,595.6,691.2,646.1,598.7,473.3,549.3,470.3,498.8,494,0.0314557533059,0.000418763066219745,-22.3356955380577
"178",5710,"CENPV",1030026,239.9,247.7,215.5,209.4,212.8,218.3,197.3,179.6,198.7,176.6,170.2,196.5,0.0316900976839096,0.000424716837692544,-4.88083989501313
"275",8630,"EEA1",5420195,177.1,171.4,154.7,140.5,159.9,145.5,142.5,128,141.4,123.9,129.7,127,0.0316900976839096,0.000425900769751844,-3.58871391076116
"447",16725,"HSPA9",430630,4887.8,4303.9,4160.5,3130.1,3380.2,3560.7,3144,2604.7,3214.9,2706.7,2493.8,2530.5,0.0316900976839096,0.000423737764653462,-157.022572178478
"527",18733,"LAMB1",2630746,1879,1427,1332.6,1245.6,1489.5,1396,1228.2,952.9,1121.6,970.9,869.7,858.9,0.0316900976839096,0.000425843654721814,-61.4265091863517
"641",32926,"MPDZ",5270326,286.4,269.9,257.7,235.7,236.1,261.5,238,202.2,224.2,209,211.6,205.5,0.0316900976839096,0.000424935385254449,-5.64435695538058
"854",40126,"SEH1L",580196,409.7,385.1,385.3,331.3,343.5,383.5,335.8,291.5,328.9,279.9,284.1,322,0.0316900976839096,0.000425479382152032,-8.83989501312336
"204",6417,"COL18A1",5290132,6970.6,6420,5497,5721.5,5487.8,5835.6,5626.4,4502.2,4924.8,4278.4,4680.9,4310.3,0.0318482546636913,0.000429372323720708,-172.889501312336
"1013",44698,"TSPYL2",4260477,146.1,148.9,148.9,143.8,132.6,126,132.1,125.3,130.5,114.4,127.1,118.5,0.0318482546636913,0.000428942183182233,-2.39186351706037
"312",9900,"FAM81A",7000494,184.6,166.6,170.1,152.7,152.8,156.7,152.3,140.2,138.4,132.9,137,140.5,0.031979285402458,0.00043249038855468,-3.19186351706037
"821",38956,"RHOQ",5050519,4846.5,3997.9,4720.3,2824.6,3417.9,3378.9,2785.8,2033.4,2769.8,2075.8,2078.6,2332.3,0.031979285402458,0.000432047679327487,-202.548293963255
"341",11148,"FRMD5",5890687,177.6,161.9,156.1,148,152.3,154.5,143.4,152.5,145.4,134.1,118,139.4,0.0319869647718847,0.000433853320408826,-3.02834645669292
"843",39839,"SC5DL",6220397,2730.8,2435.2,2497.6,1769,1983.3,1783.9,1868.3,1532.4,1745.5,1439.7,1279.2,1530.3,0.0319869647718847,0.000433946101970499,-92.8362204724409
"737",36134,"PDS5A",3290242,617.7,473.2,505.8,447.7,530.9,519.4,474.4,383.3,426.9,349.9,357.5,367.8,0.0320238476858225,0.000435123176087396,-16.7682414698163
"965",43357,"TFIP11",2570441,521.7,477.8,452.2,403.9,464.5,467.8,433.8,363.5,416.8,349.9,322.3,389,0.0322170188537752,0.000438428674044994,-12.0307086614173
"848",39984,"SCTR",7000433,1405.4,1945.4,1395.3,1884.6,1700,2204.9,2545.3,2263.9,2546.7,2623,2512.3,2591.8,0.0322267787510841,0.000439242488735905,93.8965879265092
"98",2838,"C10ORF32",6100300,503.6,428,394.9,418.8,425.5,409.6,400.4,318.2,361.7,313,300.1,334.6,0.0323156203774389,0.00044166587539165,-12.2703412073491
