"","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","fdr[id, 1]","pval","slp"
"1684","ARNT2",4180307,5.64013244757975,5.49223805918534,5.53457455700763,5.57821925168086,5.70711026474888,5.75161980407036,5.54517744447956,5.32787616878958,5.39771011042607,5.15962984677414,5.26320818943447,5.29229929422247,0.0384235340379793,0.000984073774993786,-0.0369135873068019
"7242","CYLD",3460692,5.36737690247953,5.22843123908387,5.28066243130932,5.16192474164248,5.34805945844285,5.26424338621429,5.12574810119676,5.03954663759068,5.12455904041457,5.06827507354267,5.06512347938033,5.07454861983991,0.0384235340379793,0.000983259580913819,-0.0227934368918471
"18009","KIAA0753",3830082,5.8171111599632,5.65913372298732,5.61130162186204,5.42009242347396,5.53496926788704,5.59173297084758,5.49921530891493,5.40851615884611,5.55759996447812,5.31271324683177,5.3963511068194,5.33030041240109,0.0384235340379793,0.000983336187891717,-0.0291833380505263
"5192","CCNE2",4760154,4.66249525260736,4.71402459090017,4.72738781871234,4.68675017298051,4.69774936728118,4.69866052907543,4.74580131572784,4.8056590467375,4.92289637978825,4.8652240913224,4.84968376303849,4.86753445045558,0.0385230418628532,0.000987639548172666,0.0172888499623106
"8382","DSP",3610672,6.83260060538138,6.47897036555236,6.51471269087253,6.42145965295942,6.401419560489,6.55535689181067,6.51855714333785,6.21640648036357,6.3029852090396,6.2459129482506,6.12512093192066,6.03428454429091,0.0385230418628532,0.000988744222917312,-0.0430131620039993
"30996","LRRC8D",2650100,6.08881809236389,5.94646718117725,5.91996854540291,5.75447558897172,5.92559180295727,5.90317963224041,5.7592171815443,5.59285091394892,5.8490365539757,5.65143599428399,5.59024043325707,5.69876993283266,0.0385230418628532,0.000989875174763485,-0.0310392489971681
"35604","PALB2",4120370,5.77330853730481,5.7021144175555,5.59768094377366,5.5853742436059,5.6688459047753,5.54439588914474,5.50166629053407,5.3958976948869,5.48438190962083,5.41565585896527,5.399519247057,5.48811093818069,0.0385230418628532,0.000991506561058159,-0.0242721547370507
"38467","RASGRP3",2450400,5.15213485636996,5.12812198955192,5.05241682811121,4.83150862819882,4.93734749832642,5.03239678587777,4.9192507322944,4.78498861256393,4.9781121023907,4.75874927391639,4.7999142627806,4.78080275463125,0.0385230418628532,0.000990194730767849,-0.0277218615167346
"44157","TOMM20",6290681,8.47271870131441,8.49130085945029,8.29796695738607,8.27346420649292,8.38856404881906,8.33763581076495,8.26860361877055,8.08607175649429,8.35490952835879,8.09526327927683,8.07128101849289,8.16865647069397,0.0385230418628532,0.00099140266602251,-0.0286472964958796
"5559","CDK5R1",2750280,5.64403247025043,5.4249500174814,5.4510384535657,5.3097517441737,5.43938280682664,5.2943093451505,5.28066243130932,5.18458860121969,5.30479633264575,5.18122159467179,5.17445337932565,5.19240114095649,0.0385505820071776,0.000994659269927178,-0.028295012710329
"6214","CLSTN2",4050288,5.00260312239899,5.09252245356844,4.91852000518845,4.9635436865624,4.90601524496615,4.85981240436167,4.8955984841079,4.8194747886351,4.76983680754333,4.76302827060367,4.59208494643944,4.8146204101703,0.0385505820071776,0.000994202178462765,-0.0256247853614715
"7358","CYYR1",1030632,5.88025361777198,5.87857576502936,5.69541422498568,5.88443597434946,5.94069743005433,6.01077685814036,5.77517247074287,5.57557024350928,5.77019424017545,5.55218409050509,5.4743693103284,5.46763811116474,0.0385505820071776,0.00099436407432314,-0.0369962512597642
"13803","HS.193406",4730711,5.46763811116474,5.53930083599058,5.61349300330874,5.45915989166487,5.47604505433176,5.56566917252657,5.30678144496017,5.06386005533355,5.25905665259473,5.18794430906667,5.20345708552408,5.23271160945004,0.0385543485304549,0.000995571157877056,-0.0350118262271029
"44327","TRAM1L1",4900220,4.78498861256393,4.80073696953207,4.79579054559674,4.76302827060367,4.73882657080077,4.748404354074,4.75445188870385,4.65300751540225,4.76302827060367,4.6662652853479,4.61412992735956,4.70501552095781,0.0385904885737743,0.000997319855582402,-0.0118609894310341
"8504","DYNC2LI1",5720609,6.73649234954492,6.73244905708209,6.58105513950963,6.72407279654884,6.78298539202619,6.81410372290068,6.95768764773035,6.68548634507859,6.83173779255822,6.93702277666271,7.01750614294126,6.97784088654883,0.0386959006405827,0.00100086178780029,0.0264632093752217
"34413","NR2C2",7150382,5.07392303333217,5.05815481006423,5.03500265054455,4.95088528969048,5.05433314936197,5.05241682811121,4.92216831277393,4.9635436865624,5.01196773933003,4.93662988078576,4.82108769221056,4.9315920867558,0.0387090972312703,0.00100202109139966,-0.0150257884171359
"43498","TIAM2",7050612,4.80729437007823,4.81218435537242,4.85203026391962,4.77322377098434,4.81218435537242,4.78832472908594,4.67749084756772,4.63860496207433,4.76473475565943,4.65205377188694,4.69957086140958,4.69409639518249,0.0387279797562249,0.0010033282585874,-0.0141782984493301
